volume_A,volume_B,volume_C
7725.516991501326,3573.6247022111984,3502.8524742954046
2723.4006173910475,1329.0246217524232,1300.3744890304276
2840.5933085856404,1460.235041387997,1110.8094630878782
7509.769337392326,3452.5208359238404,3053.924402765956
7593.510438544284,3761.255434083282,3472.4640808524514
8261.885795951364,3880.6602918806147,3647.5846871893223
8546.377346518439,3894.323497596549,3756.686698378694
7722.812205951538,3571.8170384387477,3503.5415367840487
2721.762318297117,1329.0147402816333,1301.5782928259057
2843.3611762222477,1462.0987006452724,1110.9455486610918
7510.99048691006,3452.8086456525834,3053.42997410092
7587.627204955199,3760.4116574565815,3471.7599905046545
8262.492274464099,3881.143176597039,3647.303733653426
8551.93143280232,3894.5324224718024,3757.705344139331
7720.095073312867,3570.0077865899175,3504.2102788059883
2720.134814638316,1329.0045773264817,1302.7617016893864
2846.136625934892,1463.9580320606208,1111.062878077963
7512.197093392776,3453.09209476648,3052.915930791577
7581.744919894529,3759.5673277920805,3471.036803365743
8263.110028918696,3881.6237770131584,3647.0030769853474
8557.481782610195,3894.7364302855894,3758.704235092595
7717.365619950474,3568.1972222065533,3504.860493838462
2718.5181293940227,1328.9943970327536,1303.9264860344138
2848.9196261808647,1465.8132995149667,1111.163197791364
7513.389143049803,3453.3714489898703,3052.383998539764
7575.86362494109,3758.722700757062,3470.296221130254
8263.739052906927,3882.102342245633,3646.684398210431
8563.028356736919,3894.935773809204,3759.6850289334584
7714.623872329164,3566.385593599589,3505.4938179687915
2716.9122854550756,1328.9844367330188,1305.0742609371525
2851.7101453584096,1467.664740481065,1111.2481009406788
7514.566622208468,3453.6469480181167,3051.8357517308477
7569.983361673227,3757.8780063786007,3469.539796150578
8264.379339912048,3882.579096166716,3646.3492309556964
8568.571116016483,3895.130680938567,3760.6492378826947
7711.869857013179,3564.573124564612,3506.1117437034877
2715.31730562356,1328.974909621732,1306.2064997655189
2854.50815180701,1469.5125686587137,1111.3190408033138
7515.729517314196,3453.9188081135617,3051.2726267099215
7564.104171668459,3757.033451600855,3468.768944540133
8265.030883308867,3883.0542399234255,3645.998974382242
8574.11002132235,3895.321357175847,3761.598241450732
7709.103600665985,3562.7600168265335,3506.7156325657634
2713.733212612595,1328.9660071634719,1307.3245466125109
2857.3136138076798,1471.3569763470784,1111.3773430659899
7516.8778149306145,3454.1872244425194,3050.695933893167
7558.226096503138,3756.1892225872607,3467.9849581268813
8265.6936763638,3883.527954205397,3645.63490498298
8579.645033567775,3895.507987863515,3762.53329808163
7706.325130050058,3560.9464522403823,3507.306726587761
2712.16002904612,1328.957901260942,1308.4296276386547
2860.12649958325,1473.1981365803654,1111.424217019372
7518.011501739653,3454.452373179135,3050.1068688165865
7552.349177752101,3755.345486793057,3467.1890153580666
8266.367712234929,3884.0004012865174,3645.258187345255
8585.176113706115,3895.6907401955423,3763.4555557754243
7703.534472026675,3559.13259477256,3507.886158794466
2710.5977774586845,1328.950746206698,1309.5228614192788
2862.9467772986573,1475.0362050504375,1111.4607657704933
7519.130564541646,3454.7144133993716,3049.506522215328
7546.473456988323,3754.50239483107,3466.3821912481762
8267.052983972055,3884.471726862879,3644.869883969162
8590.703222731181,3895.8697650279564,3764.366061778485
7700.731653555697,3557.318592284446,3508.4549627677757
2709.0464802952333,1328.9446804401784,1310.6052683839362
2865.774415061235,1476.8713218376365,1111.4879955591578
7520.2349902554315,3454.9734887860495,3048.895889218667
7540.598975782567,3753.660082151372,3465.5654664540903
8267.74948451677,3884.9420617073856,3644.470964224419
8596.226321677525,3896.0451985087857,3765.265771423654
7697.916701695356,3555.5045781380813,3509.014081371434
2707.5061599109,1328.9398281294548,1311.6777794276193
2868.609380921002,1478.7036129689413,1111.506824256935
7521.324765918449,3455.229729163804,3048.2758777382346
7534.725775703041,3752.8186705533817,3464.739735553987
8268.457206702513,3885.4115231593023,3644.0623125213815
8601.745371620786,3896.217163545398,3766.1555561947634
7695.0896436020375,3553.690672641673,3509.564374710447
2705.976838570794,1328.9363005951977,1312.7412437664434
2871.4516428709544,1480.533191820685,1111.518089120464
7522.399878686839,3455.4832518809117,3047.6473161202725
7528.853898315051,3751.978269547124,3463.905814599865
8269.176143254635,3885.880216465205,3643.644735765138
8607.260333678007,3896.385771125465,3767.036211083578
7692.250506530067,3551.8769843508962,3510.106627392157
2704.4585384497955,1328.9341975925881,1313.7964361040804
2874.301168847355,1482.3601603813395,1111.5225538644931
7523.460315835538,3455.734163053273,3047.0109601264885
7522.98338518065,3751.1389775786947,3463.0644480074257
8269.906286790463,3886.3482359861655,3643.2189701555953
8612.771169007943,3896.551121506145,3767.9084613012583
7689.3993178314895,3550.06361124039,3510.641555150234
2702.951281632343,1328.9336084653498,1314.8440631694195
2877.1579267300267,1484.1846103883277,1111.5209151143413
7524.506064758371,3455.9825586843017,3046.367499302425
7517.114277858296,3750.300883133482,3462.2163148414356
8270.647629819363,3886.8156662845076,3642.785687390934
8618.2778388114,3896.7133052846384,3768.7729684009596
7686.536104955855,3548.2506417583836,3511.1698108874925
2701.455090112229,1328.934613184662,1315.8847696806229
2880.021884342643,1486.006624351427,1111.51380829223
7525.537112968153,3456.2285256730884,3045.717562787071
7511.2466179025005,3749.4640657293266,3461.362034549632
8271.400164742809,3887.282583102151,3642.3455003267804
8623.78030433154,3896.8724043619386,3769.63033586325
7683.660895449998,3546.438155776116,3511.6919901885162
2699.9699857923915,1328.9372832844317,1316.919143785904
2882.893009453021,1487.8262764740794,1111.5018129871564
7526.553448096777,3456.4721427219965,3045.06172461275
7505.380446863485,3748.6285968106176,3460.502172193531
8272.163883854448,3887.749054241356,3641.898968138854
8629.278526854208,3897.02849281045,3770.4811141914665
7680.773716957817,3544.626225442553,3512.208636348615
2698.4959904847096,1328.9416827032662,1317.9477220269373
2885.7712697734137,1489.6436334827924,1111.4854578536203
7527.555057895309,3456.7134811537217,3044.4005085400017
7499.515806286833,3747.7945405531937,3459.6372432203034
8272.938779340166,3888.2151403576117,3641.4466010326464
8634.772467708251,3897.181637655045,3771.325805560015
7677.874597220056,3542.8149159538298,3512.7202449615484
2697.0331259097975,1328.9478685424556,1318.9709938667875
2888.6566329608036,1491.4587553738002,1111.4652250805464
7528.541930234081,3456.9526056468367,3043.734392468259
7493.652737713142,3746.961954588949,3458.767717815963
8273.72484327816,3888.680895673421,3640.988864539884
8640.262088265836,3897.3318995762083,3772.164868054829
7674.963564074083,3541.0042862459495,3513.227268104728
2695.5814136968,1328.9558917483391,1319.9894058205614
2891.549066617198,1493.2716960852372,1111.441554468106
7529.5140531027755,3457.189574897966,3043.063812459535
7487.791282677678,3746.130890658158,3457.8940248766194
8274.522067639005,3889.1463686208835,3640.5261834380235
8645.747349942765,3897.4793335430304,3772.998719541785
7672.040645453667,3539.1943896183693,3513.730118157217
2694.140875383191,1328.965797726604,1321.0033652236457
2894.4485382899206,1495.0825041022554,1111.4148471468475
7530.471414610524,3457.424442217899,3042.389166409081
7481.931482710026,3745.3013951967296,3457.0165556312927
