Lower_bound,Upper_bound
2808.248687332104,4098.773739455899
2964.912571977374,4264.54407679882
3030.3353772002683,4332.322713731166
2788.440531857966,4093.197399115174
568.5978687085335,1875.8209683530722
411.7864630900027,1724.3300269905335
2371.5107160810494,3691.0005234694017
2791.337802432813,4122.969706960128
2949.133011696988,4288.39986693867
3016.132708110114,4357.1069543998465
2774.1526128859146,4117.191713277392
555.1066699756964,1899.9615311155846
397.63509743344844,1746.7991076431442
2357.293069879559,3712.242723669199
2777.645980533738,4143.143912096129
2936.4290911374987,4308.385966488099
3004.9285249661593,4378.1084873820655
2762.784180903769,4137.4944772817125
544.4597346697605,1920.495132371122
386.2289170066216,1765.7730470991542
2345.709559259134,3730.1082706775587
2766.4481863115384,4160.09187286799
2926.111523609362,4325.261229421599
2996.0539992393765,4396.064798786467
2753.6873166015257,4154.821373389035
536.0287235614965,1938.1169916952103
376.96444950048794,1781.921324647509
2336.183258310316,3745.2392412196186
2757.2001635034544,4174.422144083703
2917.6610011694556,4339.60842742266
2989.004261235121,4411.543391895013
2746.3719453610747,4169.7242936796665
529.3374652716707,1953.3642928135082
369.3832023284589,1795.7626483294248
2328.274618552757,3758.134618543452
2749.485769215526,4186.609525634676
2910.679397977908,4351.883582043297
2983.3916756433596,4424.9890401498615
2740.461207605665,4182.636491352687
524.0192511618494,1966.6594035613289
363.1314098188634,1807.705715886343
2321.6437920654303,3769.188470807831
2742.982421448701,4197.030109951461
2904.8574971711296,4362.4487263618885
2978.914814921671,4436.755295934341
2735.661696767808,4193.902818638131
519.7882424283338,1978.338938467763
357.9329277966491,1818.0767837351195
2316.02509642906,3778.715943655273
2737.4374770091613,4205.985355646228
2899.952783611082,4371.594557901752
2975.3370414478995,4447.126348279889
2731.742844283244,4203.800775930048
516.4196013097502,1988.6740560172484
353.5703114046204,1827.1390120318356
2311.2090954535706,3786.9715968582905
2732.651536954443,4213.719194000828
2895.773666268632,4379.556622813364
2972.47125155172,4456.332680101371
2728.5221950355467,4212.55563237921
513.7352627452776,1997.885077867206
349.8712136922462,1835.106451864683
2307.0296635819345,3794.1627206694507
2728.4663249083515,4220.430526443538
2892.1679726704547,4386.527192321521
2970.168727163768,4464.562582608267
2725.8546232696553,4220.351571269128
