Lower_bound,Upper_bound
2866.1379497118805,4163.507310101235
3408.3770882052704,4716.952055551746
3433.117859342303,4745.579338652461
3459.4489858671986,4775.392509948124
3231.4009690083076,4552.079764235406
705.3036273313967,2034.6947180445566
647.5112567186826,1985.6350957539662
2818.8131171915784,4174.501653907096
3363.0581347736825,4728.303219472757
3387.3381900533627,4755.640172492768
3415.2879232323885,4786.301900758692
3187.371481737003,4562.205048683332
662.771707366259,2044.9841219428658
605.579285472685,1995.2171770045366
2777.049375637972,4182.226500752794
3323.1277157288655,4736.529372807029
3346.8492370803747,4762.657761373115
3376.3202015194784,4794.239275692808
3148.431437754221,4569.442980587635
625.1931223223404,2052.501457111925
568.4672553588183,2002.1368938427777
2739.9222514545213,4187.456497406874
3287.702066056956,4742.36591138695
3310.7902682794343,4767.34588405953
3341.7065946667317,4799.898328674657
3113.765348222107,4574.464917658104
591.7833887454118,2057.8884561111104
535.4202927958067,2007.0077554943518
2706.718662719613,4190.764706620865
3256.0959498893726,4746.359415120548
3278.492162172733,4770.236328398363
3310.7931134264854,4803.797043964935
3082.735907366047,4577.773469971811
561.9269049907136,2061.6273143326207
505.84365512272166,2010.2923949197805
2676.8732628726775,4192.585621401594
3227.763930605228,4748.925742027525
3249.4212392121744,4771.734430311534
3283.0571712187807,4806.330906627601
3054.8327378924255,4579.75313687901
535.1291036911795,2064.0879258022237
479.258045619045,2012.346647951642
2649.928215843919,4193.254789870141
3202.262917995675,4750.386886839018
3223.143274724504,4772.154472335307
3258.072941739398,4807.806962070421
3029.6392388586546,4580.7028818919725
510.98527297123667,2065.558490280416
455.27028257079485,2013.4483180462448
2625.506487536933,4193.034963046687
3179.2271151153145,4750.995478811015
3199.299335087126,4771.743297454628
3235.4880153755926,4808.466614933257
3006.81015275323,4580.858026151988
489.1593303778923,2066.2662050707604
433.553211396826,2013.816735039357
2603.2933796556745,4192.134036998469
3158.350589959846,4750.951691065669
3177.5889155547625,4770.696657290856
3215.007061639977,4808.501457615873
2986.0558108290797,4580.4054989574925
469.3688402554402,2066.391748359117
413.83145446953915,2013.6265108453977
2583.0233253355186,4190.717767488137
3139.374748806122,4750.415282244487
3157.757788865688,4769.1708831571605
3196.3800269431863,4808.064596790328
2967.1307188371575,4579.4947808946
451.37411244062014,2066.0797139173956
395.8709988981408,2013.017489564439
2564.470175700464,4188.919025754721
3122.0790808703628,4749.5143985935565
3139.589007362896,4767.291435043583
3179.3933771616576,4807.278966260205
2949.825066576431,4578.245953993404
434.9700638613166,2065.4463134490597
379.4713952227662,2012.1021169296382
2547.4398798720854,4186.844690802981
3106.27415732553,4748.3521513613305
3122.896083990979,4765.159301112516
3163.8634491627445,4806.243559965751
2933.9582685334954,4576.75574961779
419.9800076628942,2064.585179952707
364.45978534564176,2010.9710087885546
2531.764853295134,4184.580881374902
3091.796227604126,4747.011624640319
3107.5177206107296,4762.855877338851
3149.6313032107573,4805.0381913061665
2919.373953670353,4575.102174143349
406.2508227393711,2063.5718173577993
350.6862453508428,2009.6972311161016
2517.299566920609,4182.196993229642
3078.5029752514743,4745.55974957234
3093.3136618278195,4760.4467473006835
3136.5586691600056,4803.727184092481
2905.9360136590412,4573.348101361381
393.6491348251715,2062.467063530453
338.02009503602835,2008.3396380061824
2503.91703872282,4179.748858542502
3066.270133768074,4744.050342782331
3080.161385030408,4757.984649745609
3124.524706627798,4802.362273274143
2893.525440350044,4571.544099174146
382.05825406327597,2061.319820101418
326.34693248563474,2006.945507696194
2491.506005164937,4177.2812482076215
3054.988752487435,4742.526517408962
3067.953423466264,4755.511835531936
3113.423382277742,4800.984910753972
2882.037762635115,4569.730678880693
371.3756885842158,2060.1692280565953
315.56622215088566,2005.552646648522
2479.968613935933,4174.829874225532
3044.5629621637754,4741.022615576043
3056.595176631293,4753.0619582055715
3103.161322765121,4799.628116286506
2871.3809460336365,4567.940102284945
361.5111037901826,2059.046417970466
305.589312214625,2004.1910844993754
2469.218522501863,4172.42300623457
3034.9081305467857,4739.56577064296
3046.0031014309984,4750.661603379809
3093.6560397771677,4798.317975668864
2861.4736547517314,4566.197845531815
352.3846315070806,2057.975929387542
296.3377896342979,2002.8844501624064
2459.1793169606294,4170.082786390454
3025.949326448339,4738.177179435304
3036.103204869477,4748.331534881918
3084.8344500265794,4797.07486209658
2852.2438014199292,4564.523793208609
343.92545732928977,2056.976869782235
287.74210418516816,2001.6510965321618
2449.7831868394865,4167.826305733787
3017.620030803533,4736.873144744021
