Lower_bound,Upper_bound
3032.120037565842,4420.7550337353505
3552.361066237856,4952.382022880847
3583.067016787795,4985.551723415382
3660.846015924679,5066.598761862271
3377.706879312639,4787.384707350624
716.6573869729505,2130.849590031579
630.7016521260177,2053.6974001373055
2989.064750629982,4437.078493905445
3509.9334600474713,4967.823817531983
3541.237357824735,5001.027103303746
3619.667659309468,5082.0605175205155
3336.2198167241595,4801.799251997882
677.6139332704703,2146.911172220506
592.5556730281288,2069.4571943441883
2950.7133664521525,4450.258143840974
3472.069345917147,4980.249164541847
3503.9031983815007,5013.540063016215
3582.909883993032,5094.620156749532
3299.075836013554,4813.378663548046
642.8297635606765,2160.2050097922283
558.558539674688,2082.5465174212563
2916.3161171328056,4460.950659628499
3438.0509752338476,4990.283534334303
3470.3614516711923,5023.702219134729
3549.8856624735513,5104.87403928922
3265.604885988537,4822.703115466856
611.6524191914058,2171.2944734286543
528.0815470820281,2093.505765444492
2885.2867263631006,4469.654781446046
3407.314499201539,4998.4040045765105
3440.058809847317,5031.980868162266
3520.053218662849,5113.278684548469
3235.277387579233,4830.217672825864
583.5649811355507,2180.6127109674603
500.62479662218686,2102.7517983838384
2857.155600713902,4476.757790714255
3379.4066490269806,5004.982251335109
3412.5498612421734,5038.740543502877
3492.975723607441,5120.19075295385
3207.665590053678,4836.270615982965
558.1491310251068,2188.4992690656536
475.78259122852717,2110.612230372252
2831.5394174202966,4482.565610539297
3353.9563593674566,5010.312616584587
3387.4695677229474,5044.27023176648
3468.294712528306,5125.893325251812
3182.417979729671,4841.13873087018
535.0605820516188,2195.2243639331637
453.22026820844314,2117.3483011383573
2808.1204896845275,4487.323147243781
3330.655384867267,5014.63120107045
3364.5144154277673,5048.801933975827
3445.711823982502,5130.613877811208
3159.2416415280973,4845.044664403501
514.0120839910848,2201.0055957482696
432.65808701698427,2123.170710128639
2786.632254468974,4491.228526903589
3309.2445909470453,5018.129300262405
3343.4290544019864,5052.523755064315
3424.975823854411,5134.536990136798
3137.88969013361,4848.1692271768425
494.76127627253686,2206.0198317729855
413.8596606053983,2128.250923651811
2766.848753552708,4494.4433550729755
3289.503969306633,5020.963131901851
3323.996550357909,5055.589397415451
3405.873117333442,5137.813580419891
3118.1520578999493,4850.6603552947445
477.10176227059776,2210.411883988862
396.62342150963264,2132.7294628898107
2748.5768107555723,4497.100295812129
3271.245182124903,5023.261050186997
3306.03109397547,5058.12521206178
3388.220639909578,5140.56777713856
3099.8485785997773,4852.6397912960565
460.85639334764187,2214.300991787938
380.7761791597742,2136.722115363054
2731.6500845426713,4499.3087898810945
3254.305873550706,5025.129007086325
3289.372430960847,5060.2355434191095
3371.860417753592,5142.902135441284
3082.823686067007,4854.208164229264
445.87211127194576,2217.7857602089443
366.16815777901445,2140.324679605547
2715.9244593222174,4501.159447918938
3238.545248008489,5026.654760396261
3273.8815275671573,5062.006851998873
3356.6553289441676,5144.901666006309
3066.9422769322864,4855.448918840665
432.01591655105017,2220.947985348702
352.6691077009315,2143.6166493975384
2701.274414334839,4502.7274788937475
3223.8405770260906,5027.911166026381
3259.43714294879,5063.510942924994
3342.4857475905746,5146.636993532961
3052.0864308202067,4856.431399718685
419.17166777594935,2223.8556610718933
340.16521138239955,2146.6641155039943
2687.590120969457,4504.07540222072
3210.0844002033095,5028.95878813267
3245.933080296349,5064.807527554025
3329.246849793365,5148.166865174816
3038.152774376976,4857.213303284511
407.23750605147154,2226.5653722092197
328.5565888227957,2149.522079480064
2674.775092679287,4505.255218653005
3197.1822543216144,5029.8479923829655
3233.275955002031,5065.946279239506
3316.8464243916164,5149.540165263191
3025.0503370702218,4857.842648990521
396.1237576436498,2229.1242204223868
317.7552626791162,2152.2363185691947
2662.7442609030495,4506.310165861466
3185.0508106813804,5030.6206415954175
3221.3833628601874,5066.968499568915
3305.2030747285953,5150.797549428013
3012.69878842485,4858.359379407287
385.7512080790643,2231.571388851407
307.6834812349871,2154.8449028920663
2651.4223841727985,4507.276150883759
3173.61633248388,5031.311481300096
3210.1823621658027,5067.908480583386
3294.2447275600935,5151.972781370216
3001.0269752257427,4858.796670052225
376.0496687333472,2233.939423896237
298.27232371235857,2157.379439832119
2640.742721222537,4508.182928028406
3162.813386348542,5031.949280538385
3199.608205261847,5068.794626839521
3283.9073862705827,5153.093834535988
2989.971697570754,4859.182009497015
366.9567765834065,2236.255292883877
289.46053106327395,2159.8661019109813
2630.6459157451054,4509.055074022067
3152.5837579675517,5032.557777338667
3189.6032705983125,5069.650385696057
3274.1340806316666,5154.183805908792
2979.4766772559856,4859.538095727011
358.41698190640454,2238.541262297848
281.19351881056957,2162.3264810496316
2621.079052632146,4509.912800034579
3142.875533451015,5033.156466789118
3180.1161576386685,5070.495022968237
3264.873976302306,5155.261678202825
2969.4916826124863,4859.883584121176
350.3806890042399,2240.8156309834694
273.4225383303834,2164.77830231903
2611.994854488882,4510.772631291045
3133.6423164262887,5033.761261149391
3171.1009152631973,5071.344272810145
3256.0816153663186,5156.342958676461
2959.971781777543,4860.233714587657
342.80352265442025,2243.0933451505507
266.10396025766636,2167.236023025692
2603.350993890041,4511.647978335449
3124.8425573116147,5034.385045115968
3162.5163805339575,5072.210884499272
3247.7162652615284,5157.440216754295
2950.876702276046,4860.600839526531
335.64569870668424,2245.386516305107
259.19865917465427,2169.7113375271683
2595.109501881432,4512.5496190001
3116.4389759925175,5035.038144575394
3154.325609391593,5073.105084119535
3239.7413580467087,5158.563538081957
2942.1702792578044,4860.994869847897
328.8714815884688,2247.7048589247975
252.6714829114827,2172.2136040297155
2587.236257080446,4513.4861063127955
3108.398062809975,5035.72872352515
3146.49538445895,5074.034965560241
3232.124005473189,5159.7209091427585
2933.8199781679386,4861.423652867674
322.4487148200817,2250.056061380197
246.49079299732261,2174.7502064362407
2579.7005427019963,4514.464114625036
3100.6896456180157,5036.463121017835
3138.9957879183903,5075.006822480721
3224.834578057338,5160.918543860005
2925.7964802900237,4861.893293264793
316.34841323315186,2252.446101035003
240.6280652972,2177.326861839294
2572.4746611575397,4515.488733946887
3093.286512896159,5037.246137779612
