Lower_bound,Upper_bound
3105.1808994630615,4460.923253192732
3174.313985251709,4541.306270162533
3194.7796443587613,4563.365040717911
2938.7105367765475,4311.839813309805
634.079604030297,2013.8404054146254
701.6159175153947,2084.6579601882754
2741.2727367133853,4130.476112908708
3077.464890751199,4488.421543410926
3149.0399778610495,4569.105529224408
3169.633327931143,4590.6498177352
2912.0077335905407,4336.38538596859
609.8544273218062,2039.3922404044847
679.8587718336407,2111.7318261081937
2718.606733090505,4155.295950576683
3054.9701458784557,4510.537458709426
3128.7394236546,4591.769342329876
3149.348646040353,4612.907553618377
2890.0170163747853,4356.063026777066
590.1667568414882,2060.256090576014
662.5069070746428,2134.243844856356
2700.186647267518,4175.7150577417015
3036.4367259625387,4528.547419347512
3112.221402484764,4610.504859002249
3132.767569575738,4631.3122802136595
2871.6238686347365,4372.003015856018
573.9507242827565,2077.5133376246768
648.5306727008292,2153.2389561575583
2685.026122903296,4192.734864590932
3020.9525157357475,4543.378377594265
3098.6194467697446,4626.193156355041
3119.045804456109,4646.722698617368
2856.0132627371577,4385.034572499012
560.4241269664126,2091.9601491002404
637.1725242445765,2169.488468235369
2672.3971246389196,4207.096977598844
3007.840125643113,4555.721079667992
3087.2877819375913,4639.493160241146
3107.553085418459,4659.782044572535
2842.5754219493056,4395.780249946586
549.0002454540548,2104.1958152700804
627.8631490900523,2183.574084205109
2661.7512206325555,4219.362046899634
2996.587067816099,4566.100037436134
3077.736593002654,4650.906524149481
3097.810725831648,4670.9806819606065
2830.8464308417774,4404.715466153475
539.2318558698319,2114.678875863946
620.1679391262161,2195.9415664150997
2652.668999907586,4229.96048389204
2986.8002467655906,4574.9191706643405
3069.589487519973,4660.820297211657
3089.4504573106283,4680.697392196834
2820.4689047400752,4412.207961424361
530.7739366410916,2123.764538526907
613.7511934541034,2206.936657067428
2644.8260618917952,4239.226593190534
2978.1750142693427,4582.492871809137
3062.554384307549,4669.536153376446
3082.1861951106453,4689.227724976012
2811.1649088928434,4418.544993655044
523.3578724587732,2131.7305875635766
608.3512792866003,2216.8300283433286
2637.969316364445,4247.42238204906
2970.473410427562,4589.067872703478
3056.4029382369245,4677.291072754848
3075.7940465564043,4696.8040943974265
2802.7167267596183,4423.952673040915
516.7730679521559,2138.7958717248453
603.7628837334867,2225.8351305677097
2631.899991418484,4254.75465085908
2963.508449680421,4594.839055532388
3050.955619542625,4684.272357858477
3070.0977932490127,4703.610390881969
2794.9528609438757,4428.610053865498
510.85352481915925,2145.133818417535
599.8240312556117,2234.1212647338266
2626.461170102687,4261.387545145551
2957.132526989043,4599.961133969352
3046.07066858612,4690.628764851829
3064.958132282379,4709.792824690225
2787.737639198005,4432.659611967392
505.46785224781524,2150.882505511044
596.4064066192117,2241.8233405517567
2621.528479979119,4267.45194580526
2951.2287156968027,4604.55743392183
3041.63578322775,4696.478893615815
3060.264572181399,4715.468106265875
2780.9633732667758,4436.215161041787
500.51171664217793,2156.152285636686
593.4080316462371,2249.049272620223
2617.003034847934,4273.052599217608
2945.7041450646557,4608.72658676114
3037.561779155649,4701.917597129534
3055.9292479937767,4720.72969981579
2774.544367319552,4439.36791185696
495.902063588161,2161.031630862535
590.7476552337222,2255.885656054853
2612.8060200384357,4278.273596622988
2940.4849042603946,4612.547689039062
3033.7777030878715,4707.020931024699
3051.8821510469525,4725.652655374498
2768.412292254613,4442.191158850198
491.5726515914308,2165.59165894832
588.3604134042548,2262.4021655364863
2608.8744986972224,4283.18262605283
2935.51208587486,4616.084316322342
3030.227033544532,4711.850009309581
3048.0674184992563,4730.297374907271
2762.5125847733475,4444.743935878615
487.47057187544226,2169.8896675554415
586.1944452064874,2268.654992613906
2605.158138668907,4287.834297859362
2930.738692132018,4619.38766861219
3026.864706857261,4716.454029219765
3044.4404275377824,4734.71256821456
2756.8016254585627,4447.073887496636
483.5535189376707,2173.971912311097
584.2082370927387,2274.6895492220447
2601.6166420211753,4292.272762372711
2926.1272018149766,4622.499049897408
3023.6547764010065,4720.872657772861
3040.9655072877235,4738.937586126897
2751.244515473826,4449.219536688853
479.78763876706785,2177.8758023609407
582.3685282626619,2280.5426054561663
2598.2177163022097,4296.533781118851
2921.6476480528354,4625.451832210033
3020.568562188914,4725.137923392587
3037.61412924884,4743.004270673174
2745.813317377078,4451.21208405617
476.14582539860726,2181.6316432182575
580.648651669545,2286.2439873820836
2594.9354669441586,4300.646372654281
2917.276094186722,4628.273017427709
3017.583183057389,4729.275720830777
3034.3634711987634,4746.9384277314475
2740.4856583927713,4453.076840553143
472.60636790591934,2185.2640252442425
579.0272157393379,2291.817930261409
2591.749119296754,4304.634124956011
2912.9934218048234,4630.984483149366
3014.680389179753,4733.307012059087
3031.1952743383285,4750.761002791184
2735.24361843804,4454.834371879091
469.1518728963266,2188.7929330871875
577.4870540653839,2297.284160315145
2588.6420000943986,4308.516244944075
2908.784364839264,4633.603979126197
3011.8456315001404,4737.248786908025
3028.094931821998,4754.489022047625
2730.072842938993,4456.501414845214
465.76840461497454,2192.234634326903
576.0143868477187,2302.6587616045053
2585.600724031145,4312.308399804691
2904.636738424848,4636.145925885416
3009.067318811036,4741.114833062335
3025.050760592264,4758.13634723688
2724.961833795716,4458.091612681732
462.4447975846185,2195.602392715602
574.5981502748335,2307.954872144122
2582.6145430881156,4316.023392777945
2900.5408224309763,4638.622055939227
3006.3362239207263,4744.916354265754
3022.0534188941433,4761.714282130441
2719.9013819784304,4459.616106093057
459.17210646374235,2198.907041618669
573.2294595124401,2313.18324386494
2579.6748253874107,4319.671706913579
2896.488868158364,4641.041929360951
3003.645008578786,4748.662467336415
3019.095439866284,4765.2320605580135
2714.8841130087967,4461.084009068392
455.9431653041812,2202.1574457316815
571.9011782446654,2318.3526937350716
2576.774637376231,4323.261943241043
2892.474703319009,4643.413348855986
3000.9878431878824,4752.3606022071635
3016.170857810524,4768.697239595722
2709.904122597574,4462.502792411976
452.7522342011912,2205.360873312616
570.6075733592462,2323.470467675465
2573.9084086016,4326.801174318512
2888.4934155754004,4645.742694273325
2998.3601022868675,4756.016824224167
3013.2749085782893,4772.116016696445
2704.956684402381,4463.878593241074
449.594715865177,2208.5232966087524
569.344037777112,2328.5425344755968
2571.071662600304,4330.295229838716
2884.5410989546313,4648.035192441462
2995.7581206770533,4759.636094028485
3010.4037893049003,4775.493485724787
2700.038015550888,4465.2164649971655
446.4669282057947,2211.6496345754567
568.1068678893209,2333.5738234313485
2568.2608007800186,4333.748927598033
2880.614650634142,4650.2951350116355
2993.1789981271904,4763.22247726203
3007.554465712264,4778.833843850573
2695.1450884776405,4466.520579593811
443.3659218289812,2214.743949155472
566.8930847967856,2338.568416676265
2565.4729288137087,4337.166260470875
2876.7116081115864,4652.526054457571
2990.6204430176085,4766.779313896769
3004.7245175664884,4782.1405588712405
2690.2754799210097,4467.794391009335
440.2893335731427,2217.809604144756
565.7002907130526,2343.529704995945
2562.7057171667793,4340.550547917691
2872.8300187682153,4654.73086636797
2988.080647209936,4770.309355044154
3001.9120147561007,4785.416504638724
2685.427249752512,4469.04076779123
437.2352689795242,2220.849393886948
564.526553611099,2348.4605141796646
2559.957289044212,4343.9045588723875
2868.9683354247095,4656.9119845638215
2985.558185962782,4773.814873553511
2999.1154179531773,4788.6640707557035
2680.598843765163,4470.262100470898
434.20220800122377,2223.865647615416
563.3703145664339,2353.3632075785104
2557.2261303744162,4347.230611512208
2865.125332756761,4659.071414291262
2983.051937938213,4777.297753470773
2996.333499014383,4791.885251498708
2675.789015708703,4471.460388713694
431.1889293808938,2226.860314123953
562.2303133440399,2358.239769431954
2554.511017508701,4350.53065433898
2861.3000404516774,4661.210827714886
2980.561021323119,4780.75956243811
2993.565277234336,4795.081717958762
2670.9967647883013,4472.637312089194
428.19445002762507,2229.8350305356416
561.1055286529951,2363.09187263755
2551.8109591652546,4353.806332139912
2857.4916897991343,4663.331625114029
2978.0847428736874,4784.2016103203905
2990.8099683288724,4798.254876614733
2666.2212855872976,4473.794287592537
425.2179764449078,2232.7911782080555
559.9951301947539,2367.9209339264876
2549.1251498277197,4357.05903970524
2853.6996710600224,4665.434984524139
2975.622557320017,4787.6249967062995
2988.0669436393973,4801.405916931782
2661.461927971152,4474.932516441954
422.25886584016257,2235.7299282253443
558.8984401942923,2372.728158835641
2546.452932354957,4360.289965624784
2849.923499479534,4667.52190203459
2973.174035072363,4791.030649418903
2985.3356975419315,4804.535850076476
2656.718165008719,4476.053022190459
419.31659501083766,2238.6522784552
557.8149025555501,2377.51457840658
2543.793767997436,4363.500128038798
2846.162788229992,4669.59322452721
2970.7388365756997,4794.419355757733
2982.6158214400084,4807.645540437125
2651.989567331657,4477.156681797567
416.3907354752272,2241.5590837682366
556.7440581459692,2382.2810791714583
2541.14721236838,4366.690403858743
2842.4172269058035,4671.649676295907
2968.3166919847545,4797.7917878620965
2979.906983038438,4810.735731313256
2647.2757826620314,4478.244250991036
413.48093361612814,2244.4510807108154
555.6855250070644,2387.0284276870925
2538.512896201353,4369.861552683686
2838.6865644637664,4673.691880710755
2965.9073850932455,4801.148523317548
2977.208909850519,4813.807065876512
2642.576519486831,4479.316384993934
410.58689484666024,2247.3289076752235
554.638982522971,2391.75729063776
2535.89050995409,4373.01423640418
2834.970595719652,4675.720377866462
2963.510740661385,4804.49006191165
2974.5213760968295,4816.8601042942555
2637.8915340581457,4480.373655486975
407.70837100162464,2250.1931214117717
553.6041587679678,2396.468251332907
2533.2797915019432,4376.149035296799
2831.2691506870988,4677.735638975041
2961.1266144547258,4807.816839271033
2971.844192319029,4819.895337736884
2633.220620058682,4481.416564510209
404.8451503138863,2253.0442105664706
552.5808204061784,2401.1618232690944
2530.6805163120725,4379.2664612600265
2827.582086185658,4679.738078117086
2958.7548854433826,4811.129237971389
2969.177197165145,4822.913199852426
2628.5636004018224,4482.44555587434
401.99704946091083,2255.882606797999
551.5687646391593,2405.8384612987234
2528.092489608464,4382.366968719145
2823.90927925808,4681.728061848684
2956.395449719934,4814.427596598671
2966.520250909812,4825.914076180983
2623.9203207396367,4483.461024543709
399.16390726769464,2258.708693922701
550.5678127957068,2410.4985708456634
2525.5155401336397,4385.450963628184
2820.250622027988,4683.705917066261
2954.0482157821257,4817.712217148284
2963.8732303590336,4828.898311891896
2619.2906443361535,4484.463324365639
396.3455797336853,2261.5228154514907
549.5778052376444,2415.1425155250345
2522.949515190061,4388.518810916485
2816.60601770233,4685.671937455059
2951.7131008971223,4820.983371075209
2961.23602485828,4831.86621815401
2614.6744480306897,4485.45277445009
393.54193611678,2264.3252808139196
548.5985973192891,2419.770623457366
2520.394276706307,4391.570840662296
2812.9753774818555,4687.626388785108
2949.390028320743,4824.241304248272
2958.608533178468,4834.818077390809
2610.0716190703565,4486.42966444641
390.75285586018083,2267.1163705091435
547.63005618978,2424.383192513074
2517.849698123138,4394.607353223039
2809.358618190154,4689.5695132685
2947.0789251906763,4827.486241013626
2955.990661099127,4837.754147624751
2605.482052634548,4487.394258917684
387.97822619025817,2269.896340378605
546.6720582688974,2428.980494679261
2515.3156619348056,4397.6286235091875
2805.7556604698366,4691.501533151399
2944.779720949233,4830.7183875334795
2953.382319544107,4840.674666076793
2600.9056499094,4488.346800975705
385.2179402476887,2272.665425158844
545.7244872603737,2433.562779705211
2512.792057753404,4400.634904554039
2802.166427424924,4693.422653681463
2942.492346180548,4833.937934534675
2950.7834231540974,4843.579852155993
2596.3423165984273,4489.287515309232
382.4718956415371,2275.423841443374
544.7872325935439,2438.130278154056
2510.278780790107,4403.626430503567
2798.5908436130203,4695.333065564878
2940.2167317706403,4837.145059576203
2948.193889203495,4846.469909948922
2591.791961778308,4490.216610713591
379.739993337995,2278.1717901586835
543.8601882057918,2442.6832039646824
2507.7757306681815,4406.60341912775
2795.0288343105,4697.232947005816
2937.9528083176224,4840.339928924145
2945.6136367878134,4849.345030298247
2587.254497027022,4491.134282209717
377.02213681320313,2280.909458640005
542.9432515956324,2447.2217566088784
2505.282810499528,4409.56607393627
2791.4803249896945,4699.122465403765
